No,Red,Green,Blue,Brightness
175,0.394,0.354,0.252,388
176,0.392,0.354,0.254,393
177,0.39,0.356,0.254,386
178,0.387,0.356,0.257,381
179,0.386,0.359,0.255,365
180,0.384,0.36,0.256,344
181,0.38,0.365,0.255,313
182,0.379,0.367,0.254,296
183,0.378,0.369,0.253,281
184,0.38,0.37,0.249,267
185,0.379,0.372,0.248,252
186,0.382,0.371,0.247,229
187,0.387,0.374,0.238,206
188,0.391,0.373,0.236,196
189,0.389,0.379,0.232,183
190,0.39,0.376,0.233,181
191,0.392,0.374,0.234,191
192,0.392,0.374,0.234,193
193,0.381,0.372,0.247,215
194,0.37,0.374,0.256,238
195,0.369,0.372,0.259,250
196,0.361,0.372,0.267,255
197,0.35,0.373,0.277,265
198,0.349,0.372,0.28,268
199,0.345,0.372,0.283,258
200,0.344,0.374,0.282,239
201,0.344,0.376,0.28,218
202,0.345,0.376,0.279,198
203,0.347,0.376,0.277,183
204,0.356,0.372,0.271,160
205,0.363,0.381,0.256,141
206,0.372,0.378,0.25,137
207,0.377,0.377,0.246,141
208,0.381,0.375,0.244,149
209,0.384,0.374,0.242,162
210,0.385,0.37,0.245,179
211,0.387,0.369,0.243,192
212,0.388,0.371,0.241,201
213,0.387,0.37,0.243,211
214,0.391,0.371,0.238,225
215,0.388,0.369,0.243,236
216,0.387,0.369,0.244,237
217,0.388,0.37,0.243,242
218,0.392,0.371,0.238,252
219,0.394,0.369,0.237,247
220,0.395,0.37,0.236,244
221,0.398,0.369,0.233,248
222,0.405,0.369,0.226,243
223,0.405,0.367,0.228,229
224,0.406,0.369,0.225,215
225,0.408,0.369,0.223,204
226,0.405,0.37,0.225,199
227,0.404,0.37,0.226,202
228,0.403,0.367,0.23,218
229,0.402,0.366,0.232,245
230,0.401,0.364,0.235,272
231,0.397,0.362,0.241,287
232,0.395,0.361,0.244,304
233,0.394,0.359,0.246,316
234,0.398,0.357,0.245,319
235,0.396,0.358,0.246,319
236,0.398,0.357,0.246,316
237,0.402,0.357,0.24,309
238,0.405,0.356,0.239,307
239,0.401,0.357,0.243,320
240,0.396,0.357,0.247,335
241,0.39,0.357,0.253,339
242,0.387,0.355,0.258,359
243,0.386,0.354,0.26,381
244,0.385,0.356,0.259,380
245,0.389,0.356,0.255,368
246,0.397,0.354,0.249,348
247,0.401,0.354,0.246,332
248,0.413,0.351,0.236,315
249,0.427,0.343,0.23,316
250,0.433,0.34,0.227,327
251,0.436,0.341,0.223,334
252,0.436,0.341,0.222,354
253,0.442,0.337,0.221,372
254,0.446,0.334,0.22,395
255,0.45,0.333,0.217,415
256,0.454,0.329,0.216,406
257,0.455,0.329,0.217,375
258,0.449,0.331,0.22,338
259,0.441,0.333,0.226,301
260,0.435,0.332,0.233,277
261,0.429,0.336,0.235,263
262,0.43,0.335,0.235,265
263,0.435,0.336,0.23,296
264,0.436,0.336,0.227,330
265,0.44,0.337,0.223,354
266,0.441,0.337,0.222,357
267,0.442,0.339,0.219,359
268,0.444,0.339,0.217,356
269,0.441,0.343,0.216,339
270,0.439,0.343,0.218,312
271,0.441,0.344,0.215,282
272,0.445,0.343,0.213,253
273,0.447,0.341,0.212,210
274,0.449,0.346,0.205,186
275,0.453,0.344,0.203,194
276,0.455,0.346,0.199,192
277,0.456,0.347,0.197,191
278,0.456,0.35,0.194,177
279,0.451,0.348,0.201,160
280,0.445,0.349,0.205,143
281,0.435,0.355,0.21,133
282,0.432,0.353,0.216,133
283,0.431,0.354,0.215,139
284,0.43,0.351,0.219,146
285,0.428,0.352,0.22,154
286,0.424,0.358,0.218,160
287,0.432,0.355,0.213,163
288,0.442,0.356,0.202,156
289,0.441,0.359,0.2,137
290,0.442,0.356,0.202,155
291,0.441,0.359,0.2,162
292,0.436,0.359,0.204,173
293,0.43,0.357,0.213,210
294,0.432,0.355,0.214,225
295,0.427,0.356,0.217,242
296,0.41,0.362,0.228,256
297,0.401,0.366,0.232,275
298,0.392,0.37,0.237,306
299,0.393,0.367,0.24,293
300,0.394,0.364,0.242,298
301,0.402,0.359,0.239,304
302,0.406,0.355,0.239,310
303,0.406,0.353,0.241,342
304,0.409,0.352,0.239,333
305,0.414,0.349,0.238,311
306,0.415,0.348,0.236,318
307,0.418,0.346,0.235,315
308,0.425,0.345,0.23,268
309,0.432,0.344,0.225,233
310,0.433,0.345,0.222,197
311,0.435,0.345,0.22,168
312,0.431,0.347,0.222,168
313,0.43,0.346,0.223,180
314,0.431,0.346,0.223,192
315,0.428,0.343,0.229,208
316,0.435,0.345,0.22,180
317,0.453,0.343,0.204,139
318,0.459,0.333,0.207,137
319,0.447,0.34,0.213,155
320,0.446,0.337,0.217,172
321,0.435,0.339,0.226,191
322,0.431,0.34,0.228,203
323,0.434,0.337,0.23,201
324,0.436,0.337,0.227,186
325,0.433,0.339,0.228,175
326,0.428,0.34,0.233,165
327,0.427,0.343,0.231,150
328,0.425,0.339,0.236,134
329,0.435,0.333,0.231,114
330,0.44,0.341,0.22,96
331,0.444,0.333,0.222,85
332,0.453,0.333,0.213,80
333,0.443,0.329,0.228,84
334,0.435,0.329,0.235,93
335,0.433,0.333,0.233,99
336,0.435,0.337,0.228,99
337,0.434,0.333,0.232,105
338,0.433,0.337,0.231,111
339,0.434,0.333,0.232,105
340,0.432,0.337,0.232,99
341,0.43,0.34,0.23,106
342,0.434,0.333,0.232,103
343,0.436,0.337,0.228,107
344,0.425,0.333,0.242,129
345,0.414,0.336,0.25,152
346,0.404,0.342,0.253,161
347,0.399,0.345,0.257,163
348,0.397,0.344,0.258,164
349,0.392,0.348,0.259,171
350,0.4,0.344,0.256,174
351,0.399,0.344,0.258,175
352,0.404,0.343,0.253,177
353,0.416,0.343,0.242,185
354,0.42,0.342,0.238,200
355,0.42,0.34,0.241,218
356,0.424,0.341,0.236,240
357,0.43,0.336,0.234,249
358,0.435,0.335,0.23,250
359,0.436,0.335,0.229,203
360,0.429,0.344,0.227,162
361,0.427,0.347,0.226,129
362,0.435,0.352,0.213,109
363,0.441,0.351,0.207,110
364,0.441,0.351,0.207,109
365,0.443,0.357,0.2,111
366,0.445,0.353,0.202,114
367,0.455,0.35,0.195,117
