No,Red,Green,Blue,Brightness
455,0.526,0.316,0.158,124
456,0.53,0.321,0.149,126
457,0.527,0.322,0.151,135
458,0.535,0.323,0.142,121
459,0.528,0.326,0.146,135
460,0.514,0.324,0.162,135
461,0.516,0.323,0.161,143
462,0.522,0.326,0.152,129
463,0.525,0.326,0.149,131
464,0.51,0.327,0.163,141
465,0.5,0.327,0.173,137
466,0.518,0.326,0.156,132
467,0.536,0.321,0.143,80
468,0.525,0.328,0.148,113
469,0.516,0.325,0.159,146
470,0.503,0.322,0.175,156
471,0.522,0.323,0.155,149
472,0.526,0.328,0.146,131
473,0.526,0.318,0.156,162
474,0.508,0.317,0.175,167
475,0.503,0.32,0.177,163
476,0.52,0.322,0.158,158
477,0.535,0.319,0.146,134
478,0.529,0.323,0.148,145
479,0.525,0.316,0.158,162
480,0.523,0.316,0.161,159
481,0.529,0.316,0.155,161
482,0.535,0.316,0.148,147
483,0.538,0.316,0.146,150
484,0.532,0.316,0.152,161
485,0.529,0.318,0.153,159
486,0.533,0.317,0.15,156
487,0.577,0.288,0.135,52
488,0.561,0.303,0.136,67
489,0.532,0.314,0.154,148
490,0.534,0.304,0.161,155
491,0.535,0.297,0.168,149
492,0.536,0.301,0.163,148
493,0.529,0.316,0.154,131
494,0.533,0.314,0.153,133
495,0.541,0.301,0.158,142
496,0.541,0.296,0.163,134
497,0.544,0.298,0.158,113
498,0.55,0.3,0.15,100
499,0.552,0.292,0.156,97
500,0.538,0.297,0.165,91
501,0.542,0.301,0.157,83
502,0.562,0.288,0.151,73
503,0.557,0.291,0.152,78
504,0.538,0.287,0.175,81
505,0.532,0.299,0.169,78
506,0.547,0.293,0.16,75
507,0.557,0.286,0.157,70
508,0.561,0.288,0.152,66
509,0.544,0.294,0.162,69
510,0.545,0.288,0.167,68
511,0.556,0.286,0.159,64
512,0.564,0.291,0.145,55
513,0.556,0.296,0.148,55
514,0.532,0.29,0.177,63
515,0.532,0.29,0.177,64
516,0.552,0.293,0.155,58
517,0.553,0.298,0.149,47
518,0.562,0.292,0.146,50
519,0.537,0.296,0.167,56
520,0.527,0.291,0.182,58
521,0.538,0.288,0.173,55
522,0.553,0.298,0.149,48
523,0.553,0.298,0.149,47
524,0.553,0.298,0.149,50
525,0.528,0.302,0.17,55
526,0.518,0.304,0.179,59
527,0.536,0.304,0.161,58
528,0.551,0.306,0.143,50
529,0.538,0.308,0.154,53
530,0.533,0.3,0.167,63
531,0.522,0.299,0.179,69
532,0.54,0.302,0.159,65
533,0.544,0.298,0.158,57
534,0.54,0.302,0.159,63
535,0.529,0.3,0.171,72
536,0.521,0.31,0.169,74
537,0.522,0.304,0.174,70
538,0.545,0.303,0.152,65
539,0.542,0.306,0.153,71
540,0.526,0.308,0.167,78
541,0.523,0.302,0.174,86
542,0.527,0.311,0.162,73
543,0.538,0.308,0.154,76
544,0.534,0.307,0.159,87
545,0.527,0.308,0.165,91
546,0.535,0.302,0.163,86
547,0.553,0.303,0.145,75
548,0.548,0.298,0.155,83
549,0.543,0.298,0.16,94
550,0.535,0.303,0.162,99
551,0.526,0.316,0.158,92
552,0.53,0.31,0.16,96
553,0.527,0.312,0.161,108
554,0.525,0.311,0.164,117
555,0.524,0.315,0.161,119
556,0.538,0.308,0.154,88
557,0.535,0.313,0.152,95
558,0.526,0.316,0.158,126
559,0.531,0.308,0.161,137
560,0.525,0.317,0.158,132
561,0.527,0.318,0.155,121
562,0.527,0.315,0.158,138
563,0.536,0.307,0.157,145
564,0.533,0.313,0.153,141
565,0.535,0.316,0.149,108
566,0.53,0.315,0.154,140
567,0.536,0.307,0.157,155
568,0.534,0.311,0.155,152
569,0.542,0.308,0.15,102
570,0.569,0.294,0.137,53
571,0.536,0.311,0.152,143
572,0.527,0.314,0.16,157
573,0.535,0.312,0.153,149
574,0.6,0.267,0.133,16
575,0.536,0.309,0.155,105
576,0.521,0.311,0.168,155
577,0.509,0.316,0.175,158
578,0.534,0.307,0.16,154
579,0.541,0.306,0.153,105
580,0.541,0.304,0.156,128
581,0.53,0.304,0.167,158
582,0.52,0.309,0.171,163
583,0.53,0.307,0.163,158
584,0.545,0.3,0.155,104
585,0.541,0.304,0.155,141
586,0.538,0.299,0.163,173
587,0.528,0.303,0.169,167
588,0.535,0.306,0.159,163
589,0.547,0.307,0.147,70
590,0.535,0.306,0.159,154
591,0.518,0.31,0.173,160
592,0.519,0.309,0.173,152
593,0.517,0.317,0.166,138
594,0.537,0.309,0.154,118
595,0.525,0.31,0.165,151
596,0.518,0.313,0.169,156
597,0.518,0.312,0.171,157
598,0.519,0.315,0.166,170
599,0.521,0.314,0.164,134
600,0.511,0.321,0.168,178
601,0.519,0.311,0.169,172
602,0.514,0.311,0.175,165
603,0.5,0.325,0.175,161
604,0.511,0.323,0.165,130
605,0.503,0.32,0.178,165
606,0.494,0.325,0.181,153
